request_number,request_time_ms,request_received_time_ms,response_time_ms,response_received_time_ms,end_to_end_latency,compute_time,transmission_time
1,1693232312267,1692260048265,1692260054556,1693232318742,6475,6291,184
2,1693232318743,1692260054656,1692260061046,1693232325330,6587,6390,197
3,1693232325330,1692260061179,1692260067453,1693232331675,6345,6274,71
4,1693232331677,1692260067548,1692260073903,1693232338094,6417,6355,62
5,1693232338095,1692260073945,1692260080427,1693232344613,6518,6482,36
6,1693232344783,1692260080629,1692260088537,1693232352723,7940,7908,32
7,1693232352723,1692260088575,1692260096528,1693232360713,7990,7953,37
8,1693232360714,1692260096568,1692260104323,1693232368508,7794,7755,39
9,1693232368509,1692260104356,1692260111816,1693232376002,7493,7460,33
10,1693232376010,1692260111857,1692260118122,1693232382391,6381,6265,116
11,1693232382391,1692260118262,1692260124544,1693232388729,6338,6282,56
12,1693232388729,1692260124573,1692260130843,1693232395067,6338,6270,68
13,1693232395068,1692260130910,1692260137192,1693232401409,6341,6282,59
14,1693232401409,1692260137262,1692260143534,1693232407719,6310,6272,38
15,1693232407889,1692260143738,1692260152009,1693232416194,8305,8271,34
16,1693232416196,1692260152047,1692260160447,1693232424631,8435,8400,35
17,1693232424632,1692260160484,1692260168590,1693232432775,8143,8106,37
18,1693232432775,1692260168626,1692260176069,1693232440323,7548,7443,105
19,1693232440332,1692260176181,1692260182445,1693232446630,6298,6264,34
20,1693232446630,1692260182483,1692260188750,1693232452953,6323,6267,56
21,1693232452953,1692260188800,1692260195073,1693232459257,6304,6273,31
22,1693232459258,1692260195115,1692260201378,1693232465616,6358,6263,95
23,1693232465616,1692260201470,1692260207738,1693232471922,6306,6268,38
24,1693232472093,1692260207938,1692260216256,1693232480440,8347,8318,29
25,1693232480441,1692260216294,1692260224070,1693232488254,7813,7776,37
26,1693232488255,1692260224107,1692260232200,1693232496436,8181,8093,88
27,1693232496437,1692260232287,1692260239542,1693232503726,7289,7255,34
28,1693232503733,1692260239579,1692260245869,1693232510079,6346,6290,56
29,1693232510079,1692260245926,1692260252188,1693232516373,6294,6262,32
30,1693232516373,1692260252219,1692260258491,1693232522752,6379,6272,107
31,1693232522753,1692260258600,1692260264871,1693232529054,6301,6271,30
32,1693232529055,1692260264902,1692260271170,1693232535353,6298,6268,30
33,1693232535525,1692260271378,1692260279353,1693232543560,8035,7975,60
34,1693232543561,1692260279409,1692260287439,1693232551626,8065,8030,35
35,1693232551627,1692260287493,1692260294948,1693232559132,7505,7455,50
36,1693232559132,1692260294993,1692260302704,1693232566985,7853,7711,142
37,1693232566996,1692260302842,1692260309115,1693232573299,6303,6273,30
38,1693232573300,1692260309146,1692260315412,1693232579596,6296,6266,30
39,1693232579596,1692260315443,1692260321706,1693232585932,6336,6263,73
40,1693232585933,1692260321784,1692260328049,1693232592281,6348,6265,83
41,1693232592282,1692260328143,1692260334411,1693232598629,6347,6268,79
42,1693232598801,1692260334659,1692260342578,1693232606761,7960,7919,41
43,1693232606762,1692260342613,1692260350454,1693232614687,7925,7841,84
44,1693232614688,1692260350537,1692260358154,1693232622341,7653,7617,36
45,1693232622341,1692260358192,1692260365800,1693232629982,7641,7608,33
46,1693232629989,1692260365835,1692260372102,1693232636284,6295,6267,28
47,1693232636285,1692260372138,1692260378403,1693232642661,6376,6265,111
48,1693232642662,1692260378514,1692260384777,1693232648959,6297,6263,34
49,1693232648960,1692260384809,1692260391081,1693232655355,6395,6272,123
50,1693232655356,1692260391209,1692260397481,1693232661664,6308,6272,36
51,1693232661832,1692260397690,1692260405465,1693232669666,7834,7775,59
52,1693232669667,1692260405519,1692260413594,1693232677776,8109,8075,34
53,1693232677777,1692260413628,1692260421724,1693232685975,8198,8096,102
54,1693232685976,1692260421824,1692260429413,1693232693651,7675,7589,86
55,1693232693659,1692260429506,1692260435772,1693232699954,6295,6266,29
56,1693232699955,1692260435804,1692260442072,1693232706254,6299,6268,31
57,1693232706254,1692260442106,1692260448375,1693232712557,6303,6269,34
58,1693232712558,1692260448410,1692260454688,1693232718870,6312,6278,34
59,1693232718871,1692260454718,1692260460993,1693232725175,6304,6275,29
60,1693232725344,1692260461191,1692260469071,1693232733253,7909,7880,29
61,1693232733253,1692260469122,1692260477133,1693232741352,8099,8011,88
62,1693232741354,1692260477226,1692260485186,1693232749368,8014,7960,54
63,1693232749369,1692260485224,1692260492786,1693232756968,7599,7562,37
64,1693232756975,1692260492824,1692260499090,1693232763282,6307,6266,41
65,1693232763282,1692260499135,1692260505403,1693232769585,6303,6268,35
66,1693232769585,1692260505443,1692260511715,1693232775896,6311,6272,39
67,1693232775898,1692260511750,1692260518018,1693232782231,6333,6268,65
68,1693232782232,1692260518082,1692260524354,1693232788547,6315,6272,43
69,1693232788720,1692260524569,1692260532375,1693232796556,7836,7806,30
70,1693232796557,1692260532412,1692260540598,1693232804779,8222,8186,36
71,1693232804780,1692260540634,1692260548333,1693232812514,7734,7699,35
72,1693232812515,1692260548371,1692260555437,1693232819660,7145,7066,79
73,1693232819668,1692260555516,1692260561779,1693232825960,6292,6263,29
74,1693232825960,1692260561811,1692260568082,1693232832304,6344,6271,73
75,1693232832305,1692260568158,1692260574425,1693232838606,6301,6267,34
76,1693232838607,1692260574454,1692260580743,1693232844924,6317,6289,28
77,1693232844925,1692260580772,1692260587035,1693232851247,6322,6263,59
78,1693232851419,1692260587272,1692260595857,1693232860051,8632,8585,47
79,1693232860052,1692260595905,1692260603713,1693232867894,7842,7808,34
80,1693232867894,1692260603749,1692260611769,1693232875949,8055,8020,35
81,1693232875950,1692260611808,1692260619117,1693232883400,7450,7309,141
82,1693232883407,1692260619258,1692260625532,1693232889723,6316,6274,42
83,1693232889724,1692260625583,1692260631846,1693232896026,6302,6263,39
84,1693232896027,1692260631879,1692260638146,1693232902325,6298,6267,31
85,1693232902326,1692260638178,1692260644446,1693232908647,6321,6268,53
86,1693232908649,1692260644497,1692260650772,1693232914951,6302,6275,27
87,1693232915122,1692260650983,1692260658894,1693232923128,8006,7911,95
88,1693232923129,1692260658995,1692260667085,1693232931265,8136,8090,46
89,1693232931266,1692260667120,1692260675068,1693232939247,7981,7948,33
90,1693232939248,1692260675103,1692260682813,1693232946992,7744,7710,34
91,1693232946999,1692260682851,1692260689133,1693232953334,6335,6282,53
92,1693232953336,1692260689199,1692260695469,1693232959648,6312,6270,42
93,1693232959649,1692260695549,1692260701831,1693232966010,6361,6282,79
94,1693232966011,1692260701905,1692260708173,1693232972355,6344,6268,76
95,1693232972356,1692260708217,1692260714484,1693232978663,6307,6267,40
